fila_bronze,clave_lectura,tipo_duplicado,decision_duplicado,fila_canonica,justificacion_duplicado,camion_id_preparado
10387,VIA-00433|2026-08-10 22:56:00,IDENTICO,CANONICA,10387,Las diez columnas originales son idénticas,CAM-07
28856,VIA-00433|2026-08-10 22:56:00,IDENTICO,COPIA_EXCLUIDA,10387,Las diez columnas originales son idénticas,CAM-07
10600,VIA-00442|2026-08-21 19:44:00,IDENTICO,CANONICA,10600,Las diez columnas originales son idénticas,CAM-13
28867,VIA-00442|2026-08-21 19:44:00,IDENTICO,COPIA_EXCLUIDA,10600,Las diez columnas originales son idénticas,CAM-13
10663,VIA-00445|2026-08-13 08:22:00,IDENTICO,CANONICA,10663,Las diez columnas originales son idénticas,CAM-07
28872,VIA-00445|2026-08-13 08:22:00,IDENTICO,COPIA_EXCLUIDA,10663,Las diez columnas originales son idénticas,CAM-07
10850,VIA-00453|2026-08-08 17:41:00,IDENTICO,CANONICA,10850,Las diez columnas originales son idénticas,CAM-25
28882,VIA-00453|2026-08-08 17:41:00,IDENTICO,COPIA_EXCLUIDA,10850,Las diez columnas originales son idénticas,CAM-25
11191,VIA-00467|2026-08-03 05:46:00,IDENTICO,CANONICA,11191,Las diez columnas originales son idénticas,CAM-26
28880,VIA-00467|2026-08-03 05:46:00,IDENTICO,COPIA_EXCLUIDA,11191,Las diez columnas originales son idénticas,CAM-26
11385,VIA-00475|2026-08-22 22:28:00,COMPLEMENTARIO,CANONICA,11385,Una lectura tiene más campos completos y todos los valores no vacíos coinciden,CAM-05
28848,VIA-00475|2026-08-22 22:28:00,COMPLEMENTARIO,COPIA_EXCLUIDA,11385,Una lectura tiene más campos completos y todos los valores no vacíos coinciden,CAM-05
11648,VIA-00486|2026-08-24 16:34:00,IDENTICO,CANONICA,11648,Las diez columnas originales son idénticas,CAM-06
28814,VIA-00486|2026-08-24 16:34:00,IDENTICO,COPIA_EXCLUIDA,11648,Las diez columnas originales son idénticas,CAM-06
12410,VIA-00518|2026-08-02 23:04:00,IDENTICO,CANONICA,12410,Las diez columnas originales son idénticas,CAM-23
28881,VIA-00518|2026-08-02 23:04:00,IDENTICO,COPIA_EXCLUIDA,12410,Las diez columnas originales son idénticas,CAM-23
12721,VIA-00531|2026-08-17 15:18:00,IDENTICO,CANONICA,12721,Las diez columnas originales son idénticas,CAM-20
28841,VIA-00531|2026-08-17 15:18:00,IDENTICO,COPIA_EXCLUIDA,12721,Las diez columnas originales son idénticas,CAM-20
13016,VIA-00543|2026-08-05 19:46:00,COMPLEMENTARIO,CANONICA,13016,Una lectura tiene más campos completos y todos los valores no vacíos coinciden,CAM-07
28847,VIA-00543|2026-08-05 19:46:00,COMPLEMENTARIO,COPIA_EXCLUIDA,13016,Una lectura tiene más campos completos y todos los valores no vacíos coinciden,CAM-07
13749,VIA-00573|2026-08-13 19:25:00,IDENTICO,CANONICA,13749,Las diez columnas originales son idénticas,CAM-05
28887,VIA-00573|2026-08-13 19:25:00,IDENTICO,COPIA_EXCLUIDA,13749,Las diez columnas originales son idénticas,CAM-05
14905,VIA-00622|2026-08-07 01:24:00,IDENTICO,CANONICA,14905,Las diez columnas originales son idénticas,CAM-28
28879,VIA-00622|2026-08-07 01:24:00,IDENTICO,COPIA_EXCLUIDA,14905,Las diez columnas originales son idénticas,CAM-28
15355,VIA-00640|2026-08-09 03:02:00,IDENTICO,CANONICA,15355,Las diez columnas originales son idénticas,CAM-20
28846,VIA-00640|2026-08-09 03:02:00,IDENTICO,COPIA_EXCLUIDA,15355,Las diez columnas originales son idénticas,CAM-20
15865,VIA-00662|2026-08-02 03:39:00,IDENTICO,CANONICA,15865,Las diez columnas originales son idénticas,CAM-05
28808,VIA-00662|2026-08-02 03:39:00,IDENTICO,COPIA_EXCLUIDA,15865,Las diez columnas originales son idénticas,CAM-05
16061,VIA-00670|2026-08-18 02:57:00,IDENTICO,CANONICA,16061,Las diez columnas originales son idénticas,CAM-14
28868,VIA-00670|2026-08-18 02:57:00,IDENTICO,COPIA_EXCLUIDA,16061,Las diez columnas originales son idénticas,CAM-14
16073,VIA-00670|2026-08-18 08:57:00,IDENTICO,CANONICA,16073,Las diez columnas originales son idénticas,CAM-14
28816,VIA-00670|2026-08-18 08:57:00,IDENTICO,COPIA_EXCLUIDA,16073,Las diez columnas originales son idénticas,CAM-14
16139,VIA-00673|2026-08-14 00:13:00,IDENTICO,CANONICA,16139,Las diez columnas originales son idénticas,CAM-03
28837,VIA-00673|2026-08-14 00:13:00,IDENTICO,COPIA_EXCLUIDA,16139,Las diez columnas originales son idénticas,CAM-03
16167,VIA-00674|2026-08-10 23:14:00,IDENTICO,CANONICA,16167,Las diez columnas originales son idénticas,CAM-02
28858,VIA-00674|2026-08-10 23:14:00,IDENTICO,COPIA_EXCLUIDA,16167,Las diez columnas originales son idénticas,CAM-02
16282,VIA-00679|2026-08-18 17:48:00,IDENTICO,CANONICA,16282,Las diez columnas originales son idénticas,CAM-26
28825,VIA-00679|2026-08-18 17:48:00,IDENTICO,COPIA_EXCLUIDA,16282,Las diez columnas originales son idénticas,CAM-26
16445,VIA-00686|2026-08-03 01:18:00,IDENTICO,CANONICA,16445,Las diez columnas originales son idénticas,CAM-17
28917,VIA-00686|2026-08-03 01:18:00,IDENTICO,COPIA_EXCLUIDA,16445,Las diez columnas originales son idénticas,CAM-17
16609,VIA-00693|2026-08-30 11:59:00,IDENTICO,CANONICA,16609,Las diez columnas originales son idénticas,CAM-20
28885,VIA-00693|2026-08-30 11:59:00,IDENTICO,COPIA_EXCLUIDA,16609,Las diez columnas originales son idénticas,CAM-20
16628,VIA-00693|2026-08-30 21:29:00,IDENTICO,CANONICA,16628,Las diez columnas originales son idénticas,CAM-20
28916,VIA-00693|2026-08-30 21:29:00,IDENTICO,COPIA_EXCLUIDA,16628,Las diez columnas originales son idénticas,CAM-20
16638,VIA-00694|2026-08-19 01:16:00,IDENTICO,CANONICA,16638,Las diez columnas originales son idénticas,CAM-05
28870,VIA-00694|2026-08-19 01:16:00,IDENTICO,COPIA_EXCLUIDA,16638,Las diez columnas originales son idénticas,CAM-05
16916,VIA-00705|2026-08-30 03:28:00,IDENTICO,CANONICA,16916,Las diez columnas originales son idénticas,CAM-22
28884,VIA-00705|2026-08-30 03:28:00,IDENTICO,COPIA_EXCLUIDA,16916,Las diez columnas originales son idénticas,CAM-22
17211,VIA-00718|2026-08-21 08:16:00,IDENTICO,CANONICA,17211,Las diez columnas originales son idénticas,CAM-03
28861,VIA-00718|2026-08-21 08:16:00,IDENTICO,COPIA_EXCLUIDA,17211,Las diez columnas originales son idénticas,CAM-03
17213,VIA-00718|2026-08-21 09:16:00,IDENTICO,CANONICA,17213,Las diez columnas originales son idénticas,CAM-03
28893,VIA-00718|2026-08-21 09:16:00,IDENTICO,COPIA_EXCLUIDA,17213,Las diez columnas originales son idénticas,CAM-03
18019,VIA-00751|2026-08-03 17:01:00,IDENTICO,CANONICA,18019,Las diez columnas originales son idénticas,CAM-04
28860,VIA-00751|2026-08-03 17:01:00,IDENTICO,COPIA_EXCLUIDA,18019,Las diez columnas originales son idénticas,CAM-04
18064,VIA-00753|2026-08-08 10:41:00,IDENTICO,CANONICA,18064,Las diez columnas originales son idénticas,CAM-05
28907,VIA-00753|2026-08-08 10:41:00,IDENTICO,COPIA_EXCLUIDA,18064,Las diez columnas originales son idénticas,CAM-05
18111,VIA-00755|2026-08-17 14:08:00,IDENTICO,CANONICA,18111,Las diez columnas originales son idénticas,CAM-01
28840,VIA-00755|2026-08-17 14:08:00,IDENTICO,COPIA_EXCLUIDA,18111,Las diez columnas originales son idénticas,CAM-01
18152,VIA-00757|2026-08-09 16:42:00,IDENTICO,CANONICA,18152,Las diez columnas originales son idénticas,CAM-22
28842,VIA-00757|2026-08-09 16:42:00,IDENTICO,COPIA_EXCLUIDA,18152,Las diez columnas originales son idénticas,CAM-22
18256,VIA-00761|2026-08-27 22:20:00,COMPLEMENTARIO,CANONICA,18256,Una lectura tiene más campos completos y todos los valores no vacíos coinciden,CAM-12
28862,VIA-00761|2026-08-27 22:20:00,COMPLEMENTARIO,COPIA_EXCLUIDA,18256,Una lectura tiene más campos completos y todos los valores no vacíos coinciden,CAM-12
18741,VIA-00781|2026-08-05 23:30:00,IDENTICO,CANONICA,18741,Las diez columnas originales son idénticas,CAM-20
28817,VIA-00781|2026-08-05 23:30:00,IDENTICO,COPIA_EXCLUIDA,18741,Las diez columnas originales son idénticas,CAM-20
18843,VIA-00786|2026-08-12 10:56:00,IDENTICO,CANONICA,18843,Las diez columnas originales son idénticas,CAM-28
28866,VIA-00786|2026-08-12 10:56:00,IDENTICO,COPIA_EXCLUIDA,18843,Las diez columnas originales son idénticas,CAM-28
19202,VIA-00801|2026-08-16 17:58:00,IDENTICO,CANONICA,19202,Las diez columnas originales son idénticas,CAM-13
28920,VIA-00801|2026-08-16 17:58:00,IDENTICO,COPIA_EXCLUIDA,19202,Las diez columnas originales son idénticas,CAM-13
19348,VIA-00807|2026-08-07 10:51:00,IDENTICO,CANONICA,19348,Las diez columnas originales son idénticas,CAM-14
28813,VIA-00807|2026-08-07 10:51:00,IDENTICO,COPIA_EXCLUIDA,19348,Las diez columnas originales son idénticas,CAM-14
19690,VIA-00821|2026-08-29 09:01:00,IDENTICO,CANONICA,19690,Las diez columnas originales son idénticas,CAM-28
28839,VIA-00821|2026-08-29 09:01:00,IDENTICO,COPIA_EXCLUIDA,19690,Las diez columnas originales son idénticas,CAM-28
19739,VIA-00823|2026-08-24 17:40:00,IDENTICO,CANONICA,19739,Las diez columnas originales son idénticas,CAM-03
28822,VIA-00823|2026-08-24 17:40:00,IDENTICO,COPIA_EXCLUIDA,19739,Las diez columnas originales son idénticas,CAM-03
19857,VIA-00828|2026-08-29 17:05:00,IDENTICO,CANONICA,19857,Las diez columnas originales son idénticas,CAM-02
28859,VIA-00828|2026-08-29 17:05:00,IDENTICO,COPIA_EXCLUIDA,19857,Las diez columnas originales son idénticas,CAM-02
20163,VIA-00841|2026-08-01 16:22:00,IDENTICO,CANONICA,20163,Las diez columnas originales son idénticas,CAM-16
28878,VIA-00841|2026-08-01 16:22:00,IDENTICO,COPIA_EXCLUIDA,20163,Las diez columnas originales son idénticas,CAM-16
20528,VIA-00856|2026-08-27 12:37:00,IDENTICO,CANONICA,20528,Las diez columnas originales son idénticas,CAM-30
28831,VIA-00856|2026-08-27 12:37:00,IDENTICO,COPIA_EXCLUIDA,20528,Las diez columnas originales son idénticas,CAM-30
20716,VIA-00864|2026-08-24 08:23:00,IDENTICO,CANONICA,20716,Las diez columnas originales son idénticas,CAM-12
28829,VIA-00864|2026-08-24 08:23:00,IDENTICO,COPIA_EXCLUIDA,20716,Las diez columnas originales son idénticas,CAM-12
20899,VIA-00871|2026-08-20 00:19:00,IDENTICO,CANONICA,20899,Las diez columnas originales son idénticas,CAM-28
28904,VIA-00871|2026-08-20 00:19:00,IDENTICO,COPIA_EXCLUIDA,20899,Las diez columnas originales son idénticas,CAM-28
21240,VIA-00885|2026-08-03 15:27:00,COMPLEMENTARIO,COPIA_EXCLUIDA,28901,Una lectura tiene más campos completos y todos los valores no vacíos coinciden,CAM-12
28901,VIA-00885|2026-08-03 15:27:00,COMPLEMENTARIO,CANONICA,28901,Una lectura tiene más campos completos y todos los valores no vacíos coinciden,CAM-12
21492,VIA-00896|2026-08-21 01:37:00,IDENTICO,CANONICA,21492,Las diez columnas originales son idénticas,CAM-20
28823,VIA-00896|2026-08-21 01:37:00,IDENTICO,COPIA_EXCLUIDA,21492,Las diez columnas originales son idénticas,CAM-20
21506,VIA-00897|2026-08-01 13:03:00,IDENTICO,CANONICA,21506,Las diez columnas originales son idénticas,CAM-12
28843,VIA-00897|2026-08-01 13:03:00,IDENTICO,COPIA_EXCLUIDA,21506,Las diez columnas originales son idénticas,CAM-12
21664,VIA-00903|2026-08-18 05:28:00,IDENTICO,CANONICA,21664,Las diez columnas originales son idénticas,CAM-01
28886,VIA-00903|2026-08-18 05:28:00,IDENTICO,COPIA_EXCLUIDA,21664,Las diez columnas originales son idénticas,CAM-01
21927,VIA-00914|2026-08-06 09:56:00,IDENTICO,CANONICA,21927,Las diez columnas originales son idénticas,CAM-27
28805,VIA-00914|2026-08-06 09:56:00,IDENTICO,COPIA_EXCLUIDA,21927,Las diez columnas originales son idénticas,CAM-27
22234,VIA-00927|2026-08-14 12:04:00,IDENTICO,CANONICA,22234,Las diez columnas originales son idénticas,CAM-14
28812,VIA-00927|2026-08-14 12:04:00,IDENTICO,COPIA_EXCLUIDA,22234,Las diez columnas originales son idénticas,CAM-14
22530,VIA-00939|2026-08-22 02:39:00,IDENTICO,CANONICA,22530,Las diez columnas originales son idénticas,CAM-14
28854,VIA-00939|2026-08-22 02:39:00,IDENTICO,COPIA_EXCLUIDA,22530,Las diez columnas originales son idénticas,CAM-14
22698,VIA-00946|2026-08-19 11:15:00,IDENTICO,CANONICA,22698,Las diez columnas originales son idénticas,CAM-01
28918,VIA-00946|2026-08-19 11:15:00,IDENTICO,COPIA_EXCLUIDA,22698,Las diez columnas originales son idénticas,CAM-01
23070,VIA-00962|2026-08-16 09:07:00,IDENTICO,CANONICA,23070,Las diez columnas originales son idénticas,CAM-05
28869,VIA-00962|2026-08-16 09:07:00,IDENTICO,COPIA_EXCLUIDA,23070,Las diez columnas originales son idénticas,CAM-05
23207,VIA-00967|2026-08-03 16:02:00,IDENTICO,CANONICA,23207,Las diez columnas originales son idénticas,CAM-03
28906,VIA-00967|2026-08-03 16:02:00,IDENTICO,COPIA_EXCLUIDA,23207,Las diez columnas originales son idénticas,CAM-03
23262,VIA-00970|2026-08-10 17:20:00,IDENTICO,CANONICA,23262,Las diez columnas originales son idénticas,CAM-27
28803,VIA-00970|2026-08-10 17:20:00,IDENTICO,COPIA_EXCLUIDA,23262,Las diez columnas originales son idénticas,CAM-27
23503,VIA-00980|2026-08-09 01:10:00,IDENTICO,CANONICA,23503,Las diez columnas originales son idénticas,CAM-22
28845,VIA-00980|2026-08-09 01:10:00,IDENTICO,COPIA_EXCLUIDA,23503,Las diez columnas originales son idénticas,CAM-22
23617,VIA-00985|2026-08-21 02:46:00,IDENTICO,CANONICA,23617,Las diez columnas originales son idénticas,CAM-05
28850,VIA-00985|2026-08-21 02:46:00,IDENTICO,COPIA_EXCLUIDA,23617,Las diez columnas originales son idénticas,CAM-05
23714,VIA-00989|2026-08-09 02:16:00,IDENTICO,CANONICA,23714,Las diez columnas originales son idénticas,CAM-07
28874,VIA-00989|2026-08-09 02:16:00,IDENTICO,COPIA_EXCLUIDA,23714,Las diez columnas originales son idénticas,CAM-07
24052,VIA-01003|2026-08-04 22:30:00,IDENTICO,CANONICA,24052,Las diez columnas originales son idénticas,CAM-17
28915,VIA-01003|2026-08-04 22:30:00,IDENTICO,COPIA_EXCLUIDA,24052,Las diez columnas originales son idénticas,CAM-17
24541,VIA-01023|2026-08-14 01:45:00,IDENTICO,CANONICA,24541,Las diez columnas originales son idénticas,CAM-05
28834,VIA-01023|2026-08-14 01:45:00,IDENTICO,COPIA_EXCLUIDA,24541,Las diez columnas originales son idénticas,CAM-05
24558,VIA-01024|2026-08-16 15:14:00,IDENTICO,CANONICA,24558,Las diez columnas originales son idénticas,CAM-18
