fila_bronze,rule_id,dimension_calidad,severidad,accion,tipo_problema,columna_afectada,codigo_error,valor_original,detalle,version_catalogo,version_diagnostico
1233,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1276,IOT-R021,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,FUERA_RANGO,-72.7,Humedad fuera de 0 a 100%,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1286,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1336,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1402,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1469,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1471,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1594,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-20 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1660,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1697,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-10 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1730,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1750,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1756,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-15 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1798,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1967,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
2184,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
2346,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
2356,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
2515,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-01 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
2583,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
2599,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
2601,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
2788,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
2826,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
2927,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
2959,IOT-R012,UNICIDAD,CRITICAL,CUARENTENA,UNICIDAD,,CLAVE_EN_CONFLICTO,VIA-00124 + 2026-08-19 13:56:00,Lecturas diferentes con igual clave candidata; se marcan todas,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
2990,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
3019,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
3060,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
3106,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
3201,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
3239,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-12 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
3268,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
3272,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
3300,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
3307,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
3343,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
3349,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
3350,IOT-R014,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,UNIDAD_NO_RECONOCIDA,K,Unidad distinta de C o F,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
3415,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
3417,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
3617,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
3793,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-10 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4011,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4059,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4065,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4067,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4073,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4102,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4340,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4388,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4423,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4537,IOT-R002,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FECHA_INVALIDA,2026-02-31 09:15:00,Formato incorrecto o fecha imposible,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4576,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4593,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4599,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4621,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-19 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4674,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4768,IOT-R002,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FECHA_INVALIDA,2026-02-31 09:15:00,Formato incorrecto o fecha imposible,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4836,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
4907,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5043,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5045,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5113,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5161,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5222,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5252,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5307,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5316,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5331,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-24 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5370,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5371,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5376,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5468,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5609,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5628,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5717,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5823,IOT-R002,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FECHA_INVALIDA,2026-02-31 09:15:00,Formato incorrecto o fecha imposible,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5856,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
5957,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-08 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
6174,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
6244,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-29 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
6397,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
6473,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
6477,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
6562,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-15 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
6767,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
6832,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7093,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7173,IOT-R021,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,FUERA_RANGO,-81.2,Humedad fuera de 0 a 100%,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7228,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7245,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7256,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7331,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7391,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7455,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7467,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7583,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7681,IOT-R021,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,FUERA_RANGO,-50.5,Humedad fuera de 0 a 100%,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7697,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7749,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7776,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7782,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7832,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7898,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-19 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7941,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
7977,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
8028,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
8232,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
8284,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
8373,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
