_fila_bronze,errores_bloqueantes,calidad_motivo,calidad_estado,clave_lectura_bronze,clave_lectura_normalizada,timestamp_original,viaje_id_original,order_id_original,camion_id_original,producto_id_original,temperatura_cabina_c_original,temp_unit_original,humedad_cabina_pct_original,desviacion_termica_flag_original,desviacion_proximos_60min_flag_original,timestamp_utc_normalizado,temperatura_c_normalizada,lectura_clave_duplicada,ocurrencias_clave_lectura,corresponde_wms_silver,corresponde_producto_silver,corresponde_flota_silver,motivos_transformacion,motivos_imputacion,banderas_informativas,conteo_transformaciones,conteo_errores_bloqueantes,conteo_banderas_informativas
961,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00040 | 2026-08-07 13:29:00,VIA-00040 | 2026-08-07 17:29:00+00:00,2026-08-07 13:29:00,VIA-00040,ORD-2026-02804,CAM-20,PROD-060,-17.72,C,79.1,0,0,2026-08-07 17:29:00+00:00,-17.72,True,2,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1080,IOT-NUL-001,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,cuarentena,VIA-00045 | 2026-08-15 05:16:00,VIA-00045 | 2026-08-15 09:16:00+00:00,2026-08-15 05:16:00,VIA-00045,ORD-2026-01164,CAM-22,PROD-039,,C,48.0,0,0,2026-08-15 09:16:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1102,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00046 | 2026-08-20 09:07:00,VIA-00046 | 2026-08-20 13:07:00+00:00,2026-08-20 09:07:00,VIA-00046,ORD-2026-00641,CAM-09,PROD-033,-999.0,C,50.1,0,0,2026-08-20 13:07:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1111,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00047 | 2026-08-29 06:13:00,VIA-00047 | 2026-08-29 10:13:00+00:00,2026-08-29 06:13:00,VIA-00047,ORD-2026-03263,CAM-20,PROD-028,21.22,C,50.4,0,0,2026-08-29 10:13:00+00:00,21.22,True,2,no,no,si,fecha_local_bolivia_convertida_utc,,IOT-REF-001 | IOT-REF-002,1,1,2
1170,IOT-NUL-001,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,cuarentena,VIA-00049 | 2026-08-08 08:14:00,VIA-00049 | 2026-08-08 12:14:00+00:00,2026-08-08 08:14:00,VIA-00049,ORD-2026-02871,CAM-08,PROD-016,,C,68.1,0,0,2026-08-08 12:14:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1206,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00051 | 2026-08-06 06:54:00,VIA-00051 | 2026-08-06 10:54:00+00:00,2026-08-06 06:54:00,VIA-00051,ORD-2026-04075,CAM-28,PROD-025,-999.0,C,77.8,0,0,2026-08-06 10:54:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1209,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00051 | 2026-08-06 08:24:00,VIA-00051 | 2026-08-06 12:24:00+00:00,2026-08-06 08:24:00,VIA-00051,ORD-2026-04075,CAM-28,PROD-025,-999.0,C,76.9,0,1,2026-08-06 12:24:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1222,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00051 | 2026-08-06 14:54:00,VIA-00051 | 2026-08-06 18:54:00+00:00,2026-08-06 14:54:00,VIA-00051,ORD-2026-04075,CAM-28,PROD-025,-18.07,C,55.7,0,0,2026-08-06 18:54:00+00:00,-18.07,True,2,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1234,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00052 | 2026-08-21 05:29:00,VIA-00052 | 2026-08-21 09:29:00+00:00,2026-08-21 05:29:00,VIA-00052,ORD-2026-02691,CAM-10,PROD-060,-999.0,C,59.0,0,0,2026-08-21 09:29:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1264,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00053 | 2026-08-09 23:54:00,VIA-00053 | 2026-08-10 03:54:00+00:00,2026-08-09 23:54:00,VIA-00053,ORD-2026-03071,CAM-19,PROD-011,-19.27,C,73.8,0,0,2026-08-10 03:54:00+00:00,-19.27,True,2,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1277,IOT-RNG-001,Humedad fuera del rango intrinseco 0-100 grados de porcentaje,cuarentena,VIA-00054 | 2026-08-18 02:12:00,VIA-00054 | 2026-08-18 06:12:00+00:00,2026-08-18 02:12:00,VIA-00054,ORD-2026-05811,CAM-10,PROD-041,-19.93,C,-72.7,0,0,2026-08-18 06:12:00+00:00,-19.93,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1287,IOT-NUL-001,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,cuarentena,VIA-00054 | 2026-08-18 07:12:00,VIA-00054 | 2026-08-18 11:12:00+00:00,2026-08-18 07:12:00,VIA-00054,ORD-2026-05811,CAM-10,PROD-041,,C,68.6,0,1,2026-08-18 11:12:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1337,IOT-NUL-001,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,cuarentena,VIA-00056 | 2026-08-15 10:56:00,VIA-00056 | 2026-08-15 14:56:00+00:00,2026-08-15 10:56:00,VIA-00056,ORD-2026-06250,CAM-11,PROD-006,,C,42.1,0,0,2026-08-15 14:56:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1403,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00059 | 2026-08-20 20:23:00,VIA-00059 | 2026-08-21 00:23:00+00:00,2026-08-20 20:23:00,VIA-00059,ORD-2026-02676,CAM-07,PROD-055,-999.0,C,59.1,0,0,2026-08-21 00:23:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1470,IOT-NUL-001,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,cuarentena,VIA-00062 | 2026-08-23 12:32:00,VIA-00062 | 2026-08-23 16:32:00+00:00,2026-08-23 12:32:00,VIA-00062,ORD-2026-02581,CAM-28,PROD-028,,C,56.8,0,0,2026-08-23 16:32:00+00:00,,False,1,no,no,si,fecha_local_bolivia_convertida_utc,,IOT-REF-001 | IOT-REF-002,1,1,2
1472,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00062 | 2026-08-23 13:32:00,VIA-00062 | 2026-08-23 17:32:00+00:00,2026-08-23 13:32:00,VIA-00062,ORD-2026-02581,CAM-28,PROD-028,-999.0,C,37.7,0,0,2026-08-23 17:32:00+00:00,,False,1,no,no,si,fecha_local_bolivia_convertida_utc,,IOT-REF-001 | IOT-REF-002,1,1,2
1632,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00068 | 2026-08-14 18:43:00,VIA-00068 | 2026-08-14 22:43:00+00:00,2026-08-14 18:43:00,VIA-00068,ORD-2026-06340,CAM-10,PROD-042,20.37,C,50.3,0,0,2026-08-14 22:43:00+00:00,20.37,True,2,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1661,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00070 | 2026-08-28 19:53:00,VIA-00070 | 2026-08-28 23:53:00+00:00,2026-08-28 19:53:00,VIA-00070,ORD-2026-06154,CAM-19,PROD-040,-999.0,C,47.7,0,0,2026-08-28 23:53:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1731,IOT-NUL-001,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,cuarentena,VIA-00073 | 2026-08-17 05:56:00,VIA-00073 | 2026-08-17 09:56:00+00:00,2026-08-17 05:56:00,VIA-00073,ORD-2026-01330,CAM-13,PROD-018,,C,51.9,0,0,2026-08-17 09:56:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1736,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00073 | 2026-08-17 08:26:00,VIA-00073 | 2026-08-17 12:26:00+00:00,2026-08-17 08:26:00,VIA-00073,ORD-2026-01330,CAM-13,PROD-018,20.25,C,53.6,0,0,2026-08-17 12:26:00+00:00,20.25,True,2,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1751,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00073 | 2026-08-17 15:56:00,VIA-00073 | 2026-08-17 19:56:00+00:00,2026-08-17 15:56:00,VIA-00073,ORD-2026-01330,CAM-13,PROD-018,-999.0,C,56.8,0,0,2026-08-17 19:56:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1877,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00079 | 2026-08-12 13:15:00,VIA-00079 | 2026-08-12 17:15:00+00:00,2026-08-12 13:15:00,VIA-00079,ORD-2026-03382,CAM-30,PROD-016,17.05,C,40.6,0,0,2026-08-12 17:15:00+00:00,17.05,True,2,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
1968,IOT-NUL-001,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,cuarentena,VIA-00082 | 2026-08-02 19:35:00,VIA-00082 | 2026-08-02 23:35:00+00:00,2026-08-02 19:35:00,VIA-00082,ORD-2026-06630,CAM-18,PROD-033,,C,59.3,0,0,2026-08-02 23:35:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
2183,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00091 | 2026-08-20 19:22:00,VIA-00091 | 2026-08-20 23:22:00+00:00,2026-08-20 19:22:00,VIA-00091,ORD-2026-05940,CAM-26,PROD-053,4.46,C,78.3,0,0,2026-08-20 23:22:00+00:00,4.46,True,2,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
2185,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00091 | 2026-08-20 20:22:00,VIA-00091 | 2026-08-21 00:22:00+00:00,2026-08-20 20:22:00,VIA-00091,ORD-2026-05940,CAM-26,PROD-053,-999.0,C,73.6,0,0,2026-08-21 00:22:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
2347,IOT-NUL-001,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,cuarentena,VIA-00098 | 2026-08-26 20:55:00,VIA-00098 | 2026-08-27 00:55:00+00:00,2026-08-26 20:55:00,VIA-00098,ORD-2026-01622,CAM-20,PROD-009,,C,81.9,0,0,2026-08-27 00:55:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
2357,IOT-NUL-001,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,cuarentena,VIA-00099 | 2026-08-16 05:53:00,VIA-00099 | 2026-08-16 09:53:00+00:00,2026-08-16 05:53:00,VIA-00099,ORD-2026-03689,CAM-25,PROD-050,,C,45.2,0,0,2026-08-16 09:53:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
2421,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00101 | 2026-08-23 00:04:00,VIA-00101 | 2026-08-23 04:04:00+00:00,2026-08-23 00:04:00,VIA-00101,ORD-2026-04951,CAM-12,PROD-029,18.08,C,41.2,0,0,2026-08-23 04:04:00+00:00,18.08,True,2,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
2584,IOT-NUL-001,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,cuarentena,VIA-00108 | 2026-08-31 06:41:00,VIA-00108 | 2026-08-31 10:41:00+00:00,2026-08-31 06:41:00,VIA-00108,ORD-2026-04673,CAM-08,PROD-049,,C,73.4,0,0,2026-08-31 10:41:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
2899,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00121 | 2026-08-05 18:36:00,VIA-00121 | 2026-08-05 22:36:00+00:00,2026-08-05 18:36:00,VIA-00121,ORD-2026-06281,CAM-27,PROD-015,3.77,C,74.1,0,0,2026-08-05 22:36:00+00:00,3.77,True,2,no,si,no,fecha_local_bolivia_convertida_utc,,IOT-REF-001 | IOT-REF-003,1,1,2
2914,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00122 | 2026-08-23 15:16:00,VIA-00122 | 2026-08-23 19:16:00+00:00,2026-08-23 15:16:00,VIA-00122,ORD-2026-04337,CAM-04,PROD-039,19.96,C,45.8,0,0,2026-08-23 19:16:00+00:00,19.96,True,2,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
2928,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00122 | 2026-08-23 22:16:00,VIA-00122 | 2026-08-24 02:16:00+00:00,2026-08-23 22:16:00,VIA-00122,ORD-2026-04337,CAM-04,PROD-039,-999.0,C,56.6,0,0,2026-08-24 02:16:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
2949,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00123 | 2026-08-04 06:17:00,VIA-00123 | 2026-08-04 10:17:00+00:00,2026-08-04 06:17:00,VIA-00123,ORD-2026-03892,CAM-10,PROD-054,-17.46,C,79.1,0,0,2026-08-04 10:17:00+00:00,-17.46,True,2,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
2960,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00124 | 2026-08-19 13:56:00,VIA-00124 | 2026-08-19 17:56:00+00:00,2026-08-19 13:56:00,VIA-00124,ORD-2026-03143,CAM-18,PROD-029,23.82,C,55.8,0,0,2026-08-19 17:56:00+00:00,23.82,True,2,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
2991,IOT-NUL-001,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,cuarentena,VIA-00125 | 2026-08-23 04:23:00,VIA-00125 | 2026-08-23 08:23:00+00:00,2026-08-23 04:23:00,VIA-00125,ORD-2026-07330,CAM-19,PROD-010,,C,36.8,0,0,2026-08-23 08:23:00+00:00,,False,1,no,no,si,fecha_local_bolivia_convertida_utc,,IOT-REF-001 | IOT-REF-002,1,1,2
3061,IOT-NUL-001,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,cuarentena,VIA-00128 | 2026-08-20 16:03:00,VIA-00128 | 2026-08-20 20:03:00+00:00,2026-08-20 16:03:00,VIA-00128,ORD-2026-02317,CAM-06,PROD-019,,C,45.4,0,0,2026-08-20 20:03:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
3236,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00135 | 2026-08-04 17:56:00,VIA-00135 | 2026-08-04 21:56:00+00:00,2026-08-04 17:56:00,VIA-00135,ORD-2026-02724,CAM-12,PROD-010,19.46,C,54.0,0,0,2026-08-04 21:56:00+00:00,19.46,True,2,no,no,si,fecha_local_bolivia_convertida_utc,,IOT-REF-001 | IOT-REF-002,1,1,2
3269,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00137 | 2026-08-29 14:59:00,VIA-00137 | 2026-08-29 18:59:00+00:00,2026-08-29 14:59:00,VIA-00137,ORD-2026-06375,CAM-08,PROD-054,-999.0,C,85.2,0,0,2026-08-29 18:59:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
3308,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00138 | 2026-08-28 21:27:00,VIA-00138 | 2026-08-29 01:27:00+00:00,2026-08-28 21:27:00,VIA-00138,ORD-2026-05332,CAM-25,PROD-060,-999.0,C,79.0,0,0,2026-08-29 01:27:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
3351,IOT-UNI-002,"Unidad Kelvin, no esperada operacionalmente en telemetria de cabina",cuarentena,VIA-00140 | 2026-08-16 02:53:00,VIA-00140 | 2026-08-16 06:53:00+00:00,2026-08-16 02:53:00,VIA-00140,ORD-2026-03911,CAM-15,PROD-027,276.72,K,80.5,0,0,2026-08-16 06:53:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
3418,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00143 | 2026-08-11 09:01:00,VIA-00143 | 2026-08-11 13:01:00+00:00,2026-08-11 09:01:00,VIA-00143,ORD-2026-01542,CAM-19,PROD-047,-999.0,C,78.7,0,0,2026-08-11 13:01:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
3618,IOT-NUL-001,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,cuarentena,VIA-00151 | 2026-08-29 19:50:00,VIA-00151 | 2026-08-29 23:50:00+00:00,2026-08-29 19:50:00,VIA-00151,ORD-2026-05731,CAM-23,PROD-048,,C,47.4,0,0,2026-08-29 23:50:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
3915,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00164 | 2026-08-03 14:56:00,VIA-00164 | 2026-08-03 18:56:00+00:00,2026-08-03 14:56:00,VIA-00164,ORD-2026-03533,CAM-21,PROD-018,18.61,C,45.2,0,0,2026-08-03 18:56:00+00:00,18.61,True,2,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
4012,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00168 | 2026-08-08 15:20:00,VIA-00168 | 2026-08-08 19:20:00+00:00,2026-08-08 15:20:00,VIA-00168,ORD-2026-03448,CAM-19,PROD-020,-999.0,C,48.9,0,0,2026-08-08 19:20:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
4103,IOT-NUL-001,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,cuarentena,VIA-00171 | 2026-08-21 22:55:00,VIA-00171 | 2026-08-22 02:55:00+00:00,2026-08-21 22:55:00,VIA-00171,ORD-2026-04015,CAM-03,PROD-018,,C,48.9,0,0,2026-08-22 02:55:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
4404,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00184 | 2026-08-21 16:21:00,VIA-00184 | 2026-08-21 20:21:00+00:00,2026-08-21 16:21:00,VIA-00184,ORD-2026-02963,CAM-19,PROD-008,-19.1,C,82.6,0,0,2026-08-21 20:21:00+00:00,-19.1,True,2,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
4440,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00185 | 2026-08-22 15:54:00,VIA-00185 | 2026-08-22 19:54:00+00:00,2026-08-22 15:54:00,VIA-00185,ORD-2026-00226,CAM-15,PROD-017,19.18,C,49.2,0,0,2026-08-22 19:54:00+00:00,19.18,True,2,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
4493,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00188 | 2026-08-13 01:05:00,VIA-00188 | 2026-08-13 05:05:00+00:00,2026-08-13 01:05:00,VIA-00188,ORD-2026-00183,CAM-12,PROD-020,18.63,C,59.8,0,0,2026-08-13 05:05:00+00:00,18.63,True,2,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
4538,IOT-FEC-002,Fecha imposible o instante inexistente en America/La_Paz; no se puede fijar el instante,cuarentena,VIA-00190 | 2026-02-31 09:15:00,,2026-02-31 09:15:00,VIA-00190,ORD-2026-07185,CAM-28,PROD-051,-17.76,C,76.6,0,0,,-17.76,False,1,si,si,si,,,,0,1,0
4544,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00190 | 2026-08-15 01:03:00,VIA-00190 | 2026-08-15 05:03:00+00:00,2026-08-15 01:03:00,VIA-00190,ORD-2026-07185,CAM-28,PROD-051,-18.74,C,80.6,0,0,2026-08-15 05:03:00+00:00,-18.74,True,2,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
